id,value
psychology,11
linguistic,39
form,50
lee,3
osterhout,6
richard,2
wright,1
mark,4
d,13
allen,5
appear,3
cambridge,15
encyclopedia,1
language,67
sciences,4
humans,1
can,15
generate,3
comprehend,1
stunning,1
variety,5
conceptual,8
messages,3
ranging,2
sophisticated,3
types,6
mental,7
representations,23
such,30
ideas,1
intentions,1
propositions,1
more,18
primal,1
satisfy,1
demands,2
immediate,2
environment,1
salutations,1
warnings,1
order,5
these,41
transmitted,1
received,2
must,10
put,2
physical,4
sound,22
wave,3
visual,5
marking,1
noted,1
swiss,1
linguist,1
de,4
saussure,2
2002,6
relationship,6
between,16
concepts,5
manifestations,2
almost,2
always,2
arbitrary,3
words,47
cat,11
sat,2
mat,2
quite,3
similar,3
terms,9
how,14
very,3
dissimilar,1
meaning,43
one,29
would,10
expect,1
otherwise,2
if,11
principled,1
instead,9
although,5
highly,11
systematic,4
example,24
changing,2
phoneme,6
word,54
predictably,1
changes,1
human,11
perhaps,3
unique,2
complexity,1
forms,21
implication,2
system,12
underlying,5
compositional,3
every,1
sentence,53
made,5
up,5
smaller,4
units,41
have,28
been,7
combined,5
constrained,2
ways,4
standard,3
view,10
chomsky,6
1965,3
pinker,2
1999,9
rules,6
combination,6
exist,4
levels,10
phonemes,7
phonology,4
morphemes,10
morphology,4
sentences,22
phrases,1
syntax,15
collectively,2
comprise,3
grammar,2
defines,1
permissible,1
systematically,2
related,8
distinct,14
semantics,9
theories,13
based,10
description,3
observation,2
therefore,9
uncertain,2
relation,1
psychological,5
underpinnings,1
researchers,12
interested,1
describing,1
psychologically,2
relevant,6
aspects,6
require,2
their,11
own,2
methods,3
evidence,27
furthermore,1
not,17
only,3
describe,1
processes,7
assemble,1
during,10
production,24
disassemble,1
them,5
comprehension,19
should,4
explain,1
associated,10
speaker’s,2
hearer’s,1
semantic,38
contextual,2
knowledge,14
here,6
we,11
review,8
some,19
what,7
learned,1
about,16
pertains,1
sounds,23
since,1
advent,3
speech,64
research,15
most,19
intensively,1
pursued,1
topics,1
science,7
search,1
fundamental,8
many,12
found,2
phonological,22
abstract,20
i,2
e,30
generalizations,2
across,5
any,3
number,4
heard,2
utterances,4
rather,7
than,8
memories,3
specific,12
componential,3
constituent,1
elements,3
operate,1
part,3
combinatorial,2
there,14
other,15
less,1
may,9
stored,9
whole,7
result,5
two,11
competing,1
hypotheses,1
emerged,1
vs,2
holistic,4
widespread,1
posits,3
typically,4
relate,3
either,3
versions,1
articulatory,17
gestures,4
used,6
produce,8
liberman,8
mattingly,3
1985,7
browman,4
goldstein,4
1990,7
ones,2
derived,3
descriptive,2
theory,10
feature,7
see,8
analysis,12
sub,2
phonemic,1
unit,5
contrast,7
lexical,37
consonant,5
vowel,6
phone,2
allophone,2
surface,5
variants,3
syllable,5
timing,1
flanking,1
consonants,6
prosodic,2
rhythmic,1
structure,27
relates,2
patterns,4
emphasized,1
syllables,2
various,6
structures,6
tone,1
lexically,2
contrastive,3
use,5
voice’s,1
pitch,2
intonation,1
tune,1
reviews,2
frazier,5
1995,10
studdert,2
kennedy,2
1980,4
basic,5
while,9
considered,2
epiphenomenal,1
g,31
goldinger,5
pisoni,4
logan,2
1991,2
instance,4
memory,13
traces,2
particular,16
spoken,11
often,3
referred,1
episodes,1
proponents,3
point,3
out,4
convenient,1
transparently,2
segment,1
writing,3
systems,5
those,9
alphabet,5
listeners,4
draw,2
detailed,3
word’s,1
pronunciation,4
making,2
decisions,1
azuma,3
2003,7
nygaard,2
proposed,8
hybrid,2
models,25
which,45
layers,1
representation,12
episodic,4
layer,2
organized,5
features,17
phones,3
scharenborg,2
norris,2
ten,2
bosch,2
mcqueen,2
2005,6
try,1
capture,1
effects,9
perception,16
inspire,1
approaches,4
well,10
abstracted,1
refers,3
process,18
produced,6
necessarily,3
involves,6
both,9
planning,8
stage,5
make,3
utterance,6
assembled,1
fashion,4
implementation,2
parts,1
vocal,3
tract,3
articulators,6
execute,1
motor,11
plan,3
acoustic,11
signal,10
fowler,8
stages,5
involved,6
worth,2
noting,2
even,8
string,6
implemented,1
set,11
coordinated,2
movements,7
motivated,1
gestural,4
include,1
movement,2
plans,1
static,2
featural,1
1986,9
1996,6
saltzman,5
munhall,3
1989,10
stetson,7
1951,6
identify,3
interpret,2
too,1
least,4
1,9
conversion,1
electrochemical,1
response,3
auditory,5
periphery,1
2,4
extraction,1
neurophysiological,1
cortical,2
moore,2
presents,2
thorough,1
physiological,4
issues,4
interest,1
perceptual,11
constancy,1
face,3
massively,1
variable,2
restated,1
question,6
listener,4
able,2
perceive,1
understand,2
given,7
massive,1
variability,2
created,2
idiosyncrasies,1
variation,4
answers,2
involve,2
positing,1
sort,3
individual,11
segments,4
segmental,2
higher,2
level,24
like,11
transmission,3
information,17
does,5
rely,1
exclusively,1
channel,1
visible,3
lips,4
lesser,1
degree,4
tongue,4
jaw,1
transmit,1
presented,2
stimuli,2
will,10
integrate,1
signals,1
massaro,2
1987,4
when,19
unambiguous,5
main,1
dominate,1
mcgurk,2
macdonald,2
1976,4
moreover,2
convey,2
albeit,1
low,1
dimensional,1
strikingly,1
sign,3
languages,8
fully,2
powerful,1
communication,4
restricted,1
domain,1
despite,3
differences,3
signed,4
modalities,2
same,7
sorts,1
constituents,6
far,2
concerned,1
morpheme,8
phrase,3
brentari,2
1998,2
decomposing,1
using,5
manual,1
analogs,1
obvious,5
media,1
emmory,2
parallel,2
interpreted,1
lexicon,9
meier,2
cormier,2
quinto,2
pozos,2
history,4
debate,6
early,7
current,3
characterize,1
roots,1
dates,1
back,2
over,3
century,6
prior,2
instrumental,2
experimental,11
late,4
19th,2
commonly,1
accepted,1
discrete,4
alphabetic,2
nature,10
serially,1
ordered,1
recognized,1
varied,2
depending,1
phonetic,6
context,3
themselves,2
thought,12
allophones,3
translating,3
modern,8
terminology,2
determining,1
contextually,1
determined,2
concatenating,1
resulting,2
concatenated,1
series,3
steady,3
states,4
postures,1
continuous,3
believed,1
brief,2
transitional,3
periods,1
transitions,2
state,2
next,3
wholly,1
predictable,1
physiology,1
again,1
simply,3
access,9
earliest,2
attributed,1
panini,2
c,7
500,2
bc,1
who’s,1
relationships,4
influenced,3
structuralist,1
linguists,4
20th,2
generative,3
anderson,3
kiparsky,2
1979,2
predominant,1
end,2
typified,1
bell’s,3
1867,2
influential,4
work,7
english,3
inspired,1
symbols,2
whose,2
shapes,1
orientations,1
intended,5
encode,6
assumption,8
endeavor,1
all,15
could,4
encoded,3
sequence,2
universal,6
posture,1
complexes,2
subcomponents,1
shared,5
labial,1
p,13
b,7
m,18
f,4
v,2
w,3
etc,7
letter,3
shape,2
orientation,1
voiced,2
z,1
additional,1
distinguish,3
voiceless,2
counterparts,1
t,3
k,8
s,11
formalization,1
invariant,3
aligned,1
transcription,1
sweet’s,1
1881,2
romic,1
laid,1
foundation,2
development,2
international,3
passy,2
1888,2
foreshadowed,1
halle,5
1968,6
symbol,1
components,4
second,6
way,4
presaged,1
connection,1
implicit,2
his,3
belief,1
extracting,2
articulations,4
later,3
incorporate,2
another,7
chistovich,2
1960,2
dudley,2
1940,2
joos,2
1948,2
ladefoged,4
mckinney,2
1963,2
introduction,2
phonetics,11
dominant,2
methodologies,1
introspection,1
one’s,1
careful,1
subjective,1
observations,2
others’,1
measurement,3
thus,3
observer,1
observed,6
inextricably,1
linked,1
resolution,3
device,1
coarse,1
challenged,3
handful,1
phoneticians,1
psychologists,1
adopted,1
scientific,1
method,2
took,1
advantage,1
newly,1
available,6
instrumentation,2
kymograph,1
1800s,1
discovered,3
no,5
boundaries,3
stream,2
dramatically,3
kühnhert,1
nolan,2
minifie,2
new,13
scholars,1
sievers,2
1876,2
rousselot,2
1897,3
scripture,2
1902,2
overlapping,2
being,3
linear,4
rousselot’s,1
1901,2
revealed,2
several,2
confirmed,1
transcribed,1
sequential,3
generated,2
independent,5
tip,3
initiated,2
simultaneously,4
gesture,2
significantly,2
precede,2
thereby,1
presenting,1
challenge,2
notion,2
ordering,1
laboratory,2
1905,2
around,1
first,3
perceiving,1
outside,1
particularly,5
phonologists,1
leonard,2
bloomfield,2
1933,2
continued,1
remained,1
three,4
events,3
occurred,2
1940s,1
1950s,1
changed,2
application,1
tools,2
spectrogram,1
potter,2
1945,2
acoustics,1
house,2
fairbanks,2
1953,2
reliable,2
high,2
speed,1
x,2
ray,3
cineflourography,1
ex,2
delattre,7
freeman,2
electromyographic,1
studies,9
muscle,1
activation,2
draper,2
whitteridge,2
1959,2
complex,20
present,2
cooper,5
1955,4
third,3
distinctive,3
treated,2
matrices,1
captured,1
jakobson,5
1939,2
fant,3
1952,3
began,3
apply,2
study,7
rediscovered,1
improved,1
earlier,1
create,1
dynamic,1
seen,2
responsible,1
introducing,1
kinematics,1
introduced,2
coproduction,1
masking,1
closure,1
hides,1
giving,1
rise,1
percept,1
deletion,1
stetson’s,1
provided,4
byrd,2
domains,1
identification,1
cues,17
vowels,3
raised,1
questions,5
remain,2
heart,1
day,1
coextensive,1
covarying,1
exhibits,1
overlap,2
covariance,1
adjacent,3
single,6
cue,2
onset,1
immediately,5
following,2
provides,3
gerstman,2
1954,2
time,5
multiple,2
duration,3
fricative,3
“s”,2
fricative’s,1
noise,1
intensity,1
preceding,2
give,3
whether,4
“z”,1
soli,2
1982,3
finally,2
follow,1
non,6
poses,1
serious,1
problem,5
bear,1
recently,2
studying,2
learning,4
speaker,2
details,3
latest,1
findings,1
pose,1
matrix,1
binary,1
distinctions,1
similarities,2
class,3
&,9
drawn,1
allow,1
observe,1
patterning,3
segmenting,1
hierarchically,1
permits,1
duality,1
communicative,2
power,1
according,6
phonotactic,1
constraints,2
grammatical,4
means,4
small,1
canonical,1
together,5
recursion,1
talker,2
hearer,1
decode,1
parse,6
virtually,3
unbounded,1
section,1
focus,1
content,8
minimally,1
analyzable,1
analysis—namely,1
overview,1
investigations,1
morphological,8
processing,39
limit,2
our,6
discussion,1
largely,3
codes,2
recognize,2
great,2
theoretical,4
raise,1
orthographic,2
impossible,2
brain,13
store,5
exact,1
possible,3
tokens,1
might,6
encounter,2
better,1
somewhat,1
structured,2
groupings,1
graphemes,1
designated,2
long,1
term,2
sources,3
entries,1
map,2
onto,2
sequences,1
then,10
hypothesized,1
representational,2
account,1
essentially,1
mapping,6
problems,3
line,2
performance,5
due,2
idiosyncratic,3
among,5
speakers,1
environments,1
specifically,3
enough,2
accommodate,2
significant,1
actual,1
energy,1
profiles,1
speakers/writers,1
under,1
environmental,1
conditions,1
likewise,2
random,1
transient,1
status,1
mouth,1
producer,1
above,4
rests,1
represented,7
independently,3
cognitive,14
category,3
nominal,1
gender,1
verbal,1
subcategory,2
crucially,2
relied,1
separable,2
within,8
sense,1
explained,1
allport,2
funnell,2
1981,2
follows,2
naturally,2
arbitrariness,1
identified,1
relatively,4
controversial,1
skeptical,1
scientist,1
inclined,1
accept,1
assumptions,2
value,1
without,3
considering,1
alternative,2
possibilities,1
imagine,3
entry,3
data,4
interconnected,1
distributed,2
arrangement,2
easy,1
architecture,2
connectionist,5
model,12
mcclelland,2
rumelhart,2
“cat”,1
“cat,2
”,16
whiskers,1
domestic,1
pet,2
entities,1
bearing,1
<lion>,1
<dog>,1
directly,4
/k/,2
/ae/,2
/t/,2
containing,2
association,1
links,2
tie,1
rueckl,2
et,7
al,7
1997,9
important,5
consequence,3
hypothetical,2
do,11
free,1
standing,1
entire,1
vector,1
weighted,1
connecting,1
syntactic,47
logically,1
destroyed,1
unavailable,1
processor,4
having,2
nothing,1
link,1
against,3
favors,1
full,3
/kaet/,1
localist,1
accessible,1
partially,1
entirely,3
disrupted,2
prominent,2
formal,3
linguistics,4
explicit,2
claims,3
modularity,2
1992,5
jackendoff,3
tripartite,2
separate,1
identities,1
sufficient,1
array,1
encodes,2
jackendoff’s,1
further,2
ability,5
retrieve,1
correctly,3
compose,1
derives,1
memorized,1
inventory,1
functions,2
pick,1
sets,1
associate,1
psycholinguistic,3
addressed,1
operations,1
assumed,4
addressing,1
reality,1
treatments,1
multi,2
developed,2
below,1
equally,1
compelling,7
body,3
last,1
decades,1
distinction,4
lemma,3
where,2
lexeme,6
descriptions,1
computational,1
kempen,2
huijbers,2
1983,6
receive,1
refinement,1
respect,3
foundational,1
bock,6
garrett,3
1975,3
levelt,5
much,5
lemma/lexeme,1
come,2
analyses,3
occurring,2
errors,5
neurologically,2
unimpaired,1
subjects,2
including,4
phenomena,1
meyer,4
patients,8
acquired,3
lesions,1
common,2
approach,5
picture,4
interference,2
naming,2
paradigm,2
shown,1
selectively,1
course,2
schriefers,2
straightforward,2
meaning/form,1
damaged,2
case,5
independence,3
demonstrated,2
pathology,1
show,2
intact,3
his/her,1
yet,2
remains,1
unable,1
precisely,1
pattern,2
suffering,2
deafness,3
selective,1
marked,1
deficit,4
comprehending,1
meanings,3
perfect,2
near,1
good,2
patient,2
wbn,3
described,2
who,3
showed,1
decision,1
task,1
scored,1
175/182,1
96%,1
correct,1
shows,1
real,3
flag,1
flig,1
presumably,1
relying,1
preserved,1
lexemes,1
so,6
tasks,2
required,3
matching,1
performed,1
40,1
60%,1
accuracy,1
chance,1
cases,3
issue,3
concerns,1
composed,2
biggest,1
debates,1
surrounding,1
stems,1
fact,3
consistent,5
rule,3
irregular,5
concretely,1
role,11
decomposition,6
psycholinguistics,2
consider,3
written,2
wanted,9
recognition,3
semantic/syntactic,2
properties,3
want,7
verb,17
#NAME?,3
…,3
extracted,2
computed,1
encountered—by,1
accessing,3
stem,5
combining,2
affix,2
ed,18
—or,1
plausibility,2
principle,1
involving,2
irregularly,2
inflected,4
taught,4
cannot,2
clear,2
obligatorily,1
favored,1
latter,1
decompositional,4
hypothesis,2
regular,4
bybee,2
1988,2
propose,2
paradigms,1
inflectionally,1
wants,2
addition,1
strongest,1
empirical,3
support,3
whenever,1
badecker,2
accessed,1
decomposed,1
routines,1
exploited,1
resemble,1
compositionally,1
larger,2
algorithms,1
composition,1
specified,1
becoming,1
increasingly,2
aware,1
factors,3
regularity,2
transparency,4
productivity,2
reliability,1
formation,4
plural,2
noun,5
kids,1
expresses,1
plurality,1
children,1
fairly,1
compared,1
opaquely,1
formally,4
opaque,3
defined,3
nonetheless,3
semantically,4
transparent,3
because,2
teach,1
compound,1
dumbbell,1
recognizable,1
combine,2
describes,1
extent,1
freely,1
suffix,2
ness,1
easily,2
derive,1
novel,3
nouns,3
adjectives,1
nerdiness,1
awesomeness,1
catchiness,1
analogous,1
ity,1
awkward,1
best,1
nerdity,1
phenomenon,3
tend,5
cluster,2
classes,2
morphologically,3
familiar,1
frequently,1
productive,2
large,6
dimensions,2
combinability,1
tendency,1
established,1
“case,1
case”,1
basis,1
type,1
indeed,1
appears,2
direction,1
taken,3
extract,2
reader,2
just,1
right,1
read,4
listen,2
relevance,1
chapter,1
exactly,2
ask,1
purely,2
practical,1
reasons,1
known,2
parsing,6
areas,1
led,2
substantive,2
advances,1
understanding,3
claim,5
grammars,2
clearly,2
entwined,1
separated,1
mirrored,1
direct,2
exists,2
posited,1
neural,1
kroch,2
computations,1
theorists,2
notably,2
working,1
framework,2
deny,1
elman,2
claimed,5
intervening,1
initial,6
streams,5
came,1
aphasia,12
syndromes,1
broca’s,11
wernicke’s,4
aphasics,6
slow,1
labored,1
generally,1
coherent,1
disordered,1
syntactically,9
omitted,1
inflectional,2
morphosyntax,1
ing,2
fluent,1
incoherent,1
initially,2
disorders,3
reflect,7
deficits,3
sensorimotor,1
function,3
motoric,1
whereas,1
sensory,3
1970s,1
stress,1
ungrammatical,1
aphasics’,1
“agrammatism”,1
became,1
synonymous,1
motivating,1
shift,1
mirrors,1
trouble,1
john,4
kissed,1
louise,1
dependent,1
–,2
caramazza,2
zurif,1
seemed,4
explanation,1
disorder,2
viewed,1
fundamentally,1
constructing,1
aphasic,1
still,1
closer,1
consideration,1
raises,1
“pure”,1
functional,1
affecting,1
linguistically,1
rare,1
mixture,1
seem,3
others,3
alexander,3
2006,3
agrammatic,4
grammaticality,1
judgments,1
linebarger,2
suggesting,2
similarly,1
uncommon,1
speak,2
agrammatically,1
normal,2
bringing,1
reflects,1
damage,1
“syntax”,1
area,1
miceli,2
mazzuchi,2
menn,2
goodglass,2
literature,1
provide,1
source,1
comes,2
neuroimaging,1
useful,1
recording,1
event,4
potentials,4
erps,2
person’s,2
scalp,2
summed,1
postsynaptic,1
activity,1
groups,1
pyramidal,1
neurons,1
fruitful,1
presentation,2
anomalies,6
segregated,1
affect,1
suggests,3
elicit,5
qualitatively,1
erp,2
characterized,1
temporal,1
bake,1
food,2
negative,1
peaks,1
400,1
ms,3
after,2
anomalous,5
n400,3
effect,8
kutas,2
hillyard,2
eating,1
positive,1
onsets,2
persists,1
half,1
p600,4
holcomb,2
elicited,4
negativity,1
anterior,1
regions,1
100,1
300,1
results,5
generalize,1
anomaly,3
methodological,1
robustness,1
seems,2
indicate,2
honor,1
assuming,1
arises,1
interact,1
deal,1
indicates,2
incremental,2
successive,1
integrated,1
material,2
strategy,1
introduces,1
tremendous,1
amount,1
ambiguity,6
uncertainty,2
fragment,5
scratched,10
actually,1
simple,2
active,2
playing,1
subject,2
entity,4
doing,2
scratching,3
ratty,3
old,2
sofa,7
relative,4
clause,4
start,1
embedded,1
raccoon,3
hospital,1
resolved,1
once,2
disambiguating,2
encountered,3
downstream,1
little,1
help,2
parser,4
assigns,1
roles,10
soon,1
handle,1
ambiguities,1
answer,1
garden,2
path,2
modular,3
the1980s,1
primary,1
controlled,1
ferreira,6
clifton,4
arrive,1
input,2
rapidly,3
structural,1
output,1
guides,1
interpretation,1
contrasted,1
interactive,1
wide,1
conceptual/world,1
influences,4
numerous,2
mostly,1
subjects’,1
eye,5
indicated,1
readers,3
straight,1
through,1
experience,2
longer,2
fixations,2
regressions,2
confronted,1
choose,1
simplest,2
turned,1
erroneous,1
choice,1
attempted,1
“reanalyze”,1
stronger,1
test,1
requires,2
examining,1
situations,2
truly,1
driven,1
unaffected,1
sofas,1
soft,1
inanimate,1
unlikely,1
scratch,1
anything,1
consequently,1
favor,1
goodwill,1
suggest,1
had,1
build,1
inconsistent,1
comprised,1
autonomously,1
functioning,1
corresponds,1
component,1
presumed,1
advocates,1
constraint,2
satisfaction,1
trueswell,4
tanenhaus,4
1994,4
statistical,1
world,2
influence,4
actions,2
hence,1
implausibility,1
something,1
predicted,1
cause,1
attempt,1
subsequently,1
parser’s,1
regardless,1
perspective,2
controls,1
combinatory,2
centers,1
thematic,10
define,2
arguments,1
licensed,1
mcrae,6
meant,1
“thematic,1
role”,1
varies,1
widely,1
especially,1
hold,1
“syntax,1
first”,1
limited,2
few,1
“selectional,1
restrictions”,1
animacy,1
meaningless,1
slots,2
filled,1
appropriate,1
fillers,1
agent,4
theme,3
benefactor,1
selects,1
subset,1
fillmore,2
attributes,1
richer,1
verbs,3
obscure,1
subtleties,1
usage,1
conceptions,1
exclude,1
people,1
possess,1
concerning,1
tends,1
whom,1
expands,1
scope,1
rich,3
collective,1
objects,1
gradients,1
typicality,1
“situation,1
schemas”,1
verb’s,3
become,1
retrieved,1
need,1
evaluated,2
potentially,1
inferential,1
predict,1
profound,1
absolute,1
primacy,1
“take,1
control”,1
opposed,1
contradicting,1
recent,2
happen,1
occasions,1
reported,1
plausible,2
mouse,2
ate,1
cheese,2
passivized,1
implausible,1
eaten,1
participants,1
tended,1
name,1
wrong,2
“do,1
er”,1
“acted,1
on”,1
coercing,1
implications,1
post,1
ruminative,1
responses,2
listeners’,1
aspect,1
begun,1
explore,1
illustrative,1
kim,3
mysterious,2
crime,6
solving,6
drives,2
perceived,2
poor,2
solve,1
excellent,1
solved,2
accommodated,1
passive,1
situation,1
–ed,1
showing,1
strong,1
“semantic,1
attraction”,1
predicate,1
argument,1
determine,1
attraction,2
contradicts,1
conversely,1
identical,1
envelope,1
devouring,1
critical,1
demonstrate,1
“drive”,1
generating,1
rapid,1
construction,1
combinations,1
natural,1
complexities,1
dell,3
upon,2
exchanges,1
obey,1
exchanged,2
stop,2
hitting,1
your,1
brick,1
head,1
wall,1
systematicity,1
regularities,1
play,2
error,1
preparing,1
conceptualization,2
formulation,2
articulation,3
decides,1
express,1
sequentially,1
begins,1
selection,1
frame,2
contains,1
act,1
place,1
holders,1
eventually,1
translated,1
drive,1
manifested,1
existence,1
priming,4
person,1
likely,1
occurs,1
frames,1
conclusions,2
reviewed,1
experiences,1
rooted,1
TRUE,1
dissociable,1
strongly,1
exemplified,1
represent,1
progress,1
plays,1
contentiously,1
debated,1
precise,1
“rules”,1
pervasiveness,1
interactions,1
references,1
“aphasia,1
clinical,1
anatomical,1
neuroscience,1
2nd,1
j,16
farah,1
feinberg,1
165,1
182,1
ma,9
mit,10
press,21
william,1
homograph,1
inhibition,1
allomorphy,1
representing,1
multilevel,1
journal,20
41,2
105,2
123,1
preservation,1
95,1
255,2
264,2
philosophical,1
transactions,2
royal,1
society,8
london,3
295,1
397,1
410,1
stephen,3
r,3
twentieth,1
chicago,2
il,1
university,5
bell,2
alphabetics,1
simpkin,1
marshal,1
york,8
h,5
holt,2
co,2
anthony,1
“the,6
isolability,1
n,3
carlson,1
157,1
196,1
boston,1
kluwer,1
academic,7
dianne,1
prosody,1
catherine,1
louis,1
specification,1
dynamically,1
18,1
299,1
320,2
joan,1
“morphology,1
organization,2
hammond,1
noonan,1
119,1
141,1
san,2
diego,1
ca,2
dani,1
elliot,2
elastic,1
modeling,1
dynamics,1
boundary,1
lengthening,1
31,3
149–180,1
caplan,1
david,5
arising,1
contemporary,1
50,1
325,1
338,1
alfonzo,1
edgar,1
zuriff,1
dissociations,1
algorithmic,1
heuristic,1
3,3
572,1
582,1
ludmilla,1
classification,1
repeated,1
akustichneskii,1
zhurnal,1
6,1
392,1
398,1
noam,1
1957,1
hague,1
mouton,1
pierre,3
donald,1
dialect,1
american,1
motion,1
44,1
29,4
68,1
avin,1
franklin,3
loci,1
acoustical,7
america,6
27,4
769,1
773,1
gary,1
speaking,2
misspeaking,1
invitation,1
respiratory,1
muscles,1
hearing,3
16,1
homer,1
carrier,1
technical,1
14,4
495,1
515,1
jeffrey,1
l,10
“representation,2
altmann,1
227,1
260,1
karen,1
cognition,8
insights,1
mahwah,1
nj,4
lawrence,2
erlbaum,4
associates,2
fernanda,2
misinterpretation,1
noncanonical,1
47,1
164–203,1
charles,3
jr,1
25,2
348,1
368,1
universals,1
bach,1
80,1
rinehart,1
winston,1
carol,4
realist,1
28,1
hear,1
tongues,1
99,1
1730,1
1741,1
“speech,2
miller,4
eimas,3
61,1
susan,1
napps,1
laurie,1
feldman,1
relations,1
repetition,1
13,4
241,1
lambon,2
ralph,3
morris,2
bailey,1
neuropsychology,4
1139,1
1162,1
“sentence,1
tutorial,1
attention,1
xii,1
reading,2
coltheart,1
30,2
hillsdale,3
lyn,1
merrill,1
motivation,1
boer,1
133,1
177,2
tamiko,1
puzzle,1
quixotic,1
quest,1
305,1
recall,1
lists,1
17,1
152,1
162,1
hall,1
riddoch,1
spelling,1
understood,1
1131,1
1164,1
hillis,1
argye,1
2000,1
reveal,1
mind/brain,1
handbook,1
rapp,2
185,2
210,1
arthur,1
grant,1
enviroment,1
secondary,1
characteristics,1
113,1
faculty,1
roman,2
sur,1
le,1
classment,1
phonologique,1
des,1
consonnes,1
proceedings,1
3rd,1
conference,1
34,1
ghent,1
gunnar,1
preliminaries,1
martin,1
monograph,1
23,2
supplement,1
24,1
36,3
gerard,1
pieter,1
lexicalization,1
indirect,1
election,1
209,1
albert,1
52,2
205,2
225,1
paul,2
variationist,1
künhert,1
barbara,1
francis,1
origin,1
coarticulation,2
techniques,1
7,2
uk,2
marta,1
steven,2
senseless,1
207,1
203,1
loudness,1
pressure,2
subglottal,1
35,1
454,1
460,1
sage,1
ellis,1
blindness,1
dyslexia,1
617,1
639,1
willem,2
intention,1
alvin,2
lou,1
nasal,1
127,1
137,2
ignatius,1
revised,2
21,1
marcia,1
myrna,1
schwartz,1
eleanor,1
saffran,1
sensitivity,1
called,1
361,1
393,1
dominic,1
ear,1
inquiry,1
james,1
explorations,1
microstructure,1
vol,1
harry,1
seeing,1
voices,1
746,1
748,1
ken,1
todd,1
ferretti,1
liane,1
amyote,1
12,2
176,1
kearsy,1
antje,2
kathryn,1
blocking,1
partial,1
20,1
715,1
726,1
contrasting,1
italian,1
19,1
65,2
97,1
george,1
patricia,1
nicely,1
confusions,1
329,1
335,1
fred,1
united,2
guide,1
issued,1
occasion,1
14th,1
congress,1
francisco,1
august,1
ohala,1
bronstein,1
busà,1
grazio,1
lewis,1
weigel,1
berkeley,2
california,1
brian,1
edition,3
lynn,1
directions,1
63,1
96,1
philip,1
785,1
806,1
teacher,1
57,1
60,1
ingredients,1
ny,2
books,1
102,2
463,1
470,1
principes,1
phonétique,1
experimentale,1
paris,2
welter,1
jay,1
michelle,1
mikolinski,1
michal,1
raveh,1
caroline,1
miner,1
mars,1
completion,1
networks,1
382,1
405,1
kevin,1
dynamical,1
ecological,1
333–82,1
ferdinand,1
écrits,1
linguistique,1
générale,1
prepared,1
simon,1
bouquet,1
rudolf,1
engler,1
gallimard,1
translation,1
writings,1
general,1
oxford,2
o,1
recognizer,1
867–918,1
herbert,1
exploring,1
86,1
edward,1
wheeler,1
scribner,1
sons,1
eduard,1
grundzuge,1
der,3
lautphysiologie,1
zur,1
einfuhrung,1
das,1
studium,1
lautlehere,1
indogermanischen,1
sprachen,1
leipzig,1
breitkopf,1
hartel,1
sig,1
specify,1
voicing,1
72,1
366,1
378,1
raymond,2
rhythm,1
succession,1
ii,1
293,1
350,1
action,1
amsterdam,1
north,1
holland,1
publishing,1
michael,2
45,1
sweet,1
henry,1
notation,1
philological,1
235,1
“toward,1
lexicalist,1
perspectives,1
rayner,1
155,1
180,1
